building_name,scope,modifier_key,value
Porto,country,navy_unit_cap_bonus,5
Caserma,country,land_unit_cap_bonus,2
Campo di addestramento,country,discipline,5
Granaio,country,resource_cap_bonus,50
Magazzino,country,resource_cap_bonus,100
Mercato,country,economic_growth,0.01
Foro,country,economic_growth,0.05
Tribunale,country,stability_growth,1
Teatro,country,unrest_reduction,1
Fattoria,country,prod_livestock,1
Fattoria,country,prod_grain,1
Tenuta di schiavi,country,prod_slaves,1
Miniera,country,prod_base_metals,1
Fonderia,country,prod_base_metals,2
Fonderia,country,prod_iron,1
Cava,country,prod_stone,3
Segheria,country,prod_wood,3
Sartoria,country,prod_cloth,3
Insediamento rurale,country,prod_wine,1
Insediamento rurale,country,prod_honey,1
Insediamento rurale,country,prod_olives,1
