culture,culture_group
Albocensi,Daci
Buridavi,Daci
Carpi,Daci
Geti,Daci
Ratacensi,Daci
Achei,Ellenici
Ateniesi,Ellenici
Bosfori,Ellenici
Cretesi,Ellenici
Egei,Ellenici
Epirioti,Ellenici
Etoli,Ellenici
Eubei,Ellenici
Italioti,Ellenici
Lacedemoni,Ellenici
Macedoni,Ellenici
Propontici,Ellenici
Sicelioti,Ellenici
Tessali,Ellenici
Boi,Galli
Carni,Galli
Cenomani,Galli
Eravisci,Galli
Insubri,Galli
Lingoni,Galli
Norici,Galli
Salassi,Galli
Segestani,Galli
Senoni,Galli
Taurini,Galli
Volci,Galli
Dalmati,Illiri
Dardani,Illiri
Dauni,Illiri
Deramestiani,Illiri
Iapodi,Illiri
Messapi,Illiri
Pannoni,Illiri
Peoni,Illiri
Peucezi,Illiri
Scordisci,Illiri
Segestani,Illiri
Taulanti,Illiri
Bruzi,Italici
Etruschi,Italici
Istriani,Italici
Liguri,Italici
Lucani,Italici
Piceni,Italici
Reti,Italici
Romani,Italici
Sabini,Italici
Sanniti,Italici
Sicani,Italici
Umbri,Italici
Veneti,Italici
Cartaginesi,Levantini
Corsi,Nuragici
Sardi,Nuragici
Crobizi,Traci
Odrisi,Traci
Triballi,Traci
